New_Word	Synonyms	Frequency	Col2	Col3	Pronunciation	Theme	TargetSize
íy	i	20000	/aɪj/	AY|Y	iyy	u	2
ïw	you	20000	/jw/	Y|W	yw	u	2
éh	he	20000	/iːh/	IY|HH	eeh	u	2
ësh	she	20000	/ɜːsh/	ER|S|HH	ersh	u	2
it	it	20000	/ɪt/	IH|T	iht	u	2
éw	we	20000	/iːw/	IY|W	eew	u	2
áth	they	20000	/eɪth/	EY|T|HH	ayth	u	2
ém	me	20000	/iːm/	IY|M	eem	u	2
im	him	20000	/ɪm/	IH|M	ihm	u	2
ëry	her	20000	/ɜːɹj/	ER|R|Y	erry	u	2
us	us	20000	/ʌs/	AH|S	uhs	u	2
emth	them	20000	/ɛmθ/	EH|M|TH	ehmth	u	2
íyn	my	20000	/aɪjn/	AY|Y|N	iyyn	u	2
mine	mine	20000	/mɪnɛ/	M|IH|N|EH	mihneh	u	2
ïr	your	20000	/jɹ/	Y|R	yr	u	2
ïrs	yours	20000	/jɹs/	Y|R|S	yrs	u	2
éhz	his	20000	/iːhz/	IY|HH|Z	eehz	u	2
ëshs	hers	20000	/ɜːʃs/	ER|SH|S	ershs	u	2
itz	its	20000	/ɪtz/	IH|T|Z	ihtz	u	2
ür	our	20000	/aʊɹ/	AW|R	owr	u	2
ürz	ours	20000	/aʊɹz/	AW|R|Z	owrz	u	2
erzh	their	20000	/ɛɹʒ/	EH|R|ZH	ehrzh	u	2
erthz	theirs	20000	/ɛɹθz/	EH|R|TH|Z	ehrthz	u	2
isth	this	20000	/ɪsθ/	IH|S|TH	ihsth	u	2
atth	that	20000	/ætθ/	AE|T|TH	aatth	u	2
ézth	these	20000	/iːzθ/	IY|Z|TH	eezth	u	2
ózth	those	20000	/oʊzθ/	OW|Z|TH	ohzth	u	2
úzw	who,whom,whose	20000	/uːzw/	UW|Z|W	oozw	u	2
ichw	which	20000	/ɪtʃw/	IH|CH|W	ihchw	u	2
otw	what	20000	/ɒtw/	AA|T|W	otw	u	2
erw	where	20000	/ɛɹw/	EH|R|W	ehrw	u	2
enw	when	20000	/ɛnw/	EH|N|W	ehnw	u	2
íw	why	20000	/aɪw/	AY|W	iyw	u	2
üw	how	20000	/aʊw/	AW|W	oww	u	2
éry	here	20000	/iːɹj/	IY|R|Y	eery	u	2
erth	there	20000	/ɛɹθ/	EH|R|TH	ehrth	u	2
an	an	20000	/æn/	AE|N	aan	u	2
eth	the	20000	/ɛth/	EH|T|HH	ehth	u	2
am	am	20000	/æm/	AE|M	aam	u	2
iz	is	20000	/ɪz/	IH|Z	ihz	u	2
âry	are	20000	/ɑːɹj/	AA|R|Y	ahry	u	2
äzw	was	20000	/ɔːzw/	AO|Z|W	awzw	u	2
ërw	were	20000	/ɜːɹw/	ER|R|W	errw	u	2
éb	be	20000	/iːb/	IY|B	eeb	u	2
ény	been	20000	/iːnj/	IY|N|Y	eeny	u	2
